IlmnID,CHR,Position,Strand,UCSC_RefGene_Name,Genome_Build
cg07029395,X,145078810,+,MIR892B;MIR892A,GRCh37
cg07038409,X,47509941,+,ELK1;ELK1;ELK1;ELK1,GRCh37
cg07042747,X,131158005,+,MST4;MST4;MST4,GRCh37
cg07049424,X,135959015,+,RBMX;RBMX;RBMX;RBMX,GRCh37
cg07051162,X,30671305,+,GK;GK;GK,GRCh37
cg07051329,X,110039369,+,CHRDL1;CHRDL1;CHRDL1;CHRDL1,GRCh37
cg07053481,X,148714613,-,TMEM185A,GRCh37
cg07053880,X,151143515,-,GABRE,GRCh37
cg07054622,X,55519357,-,,GRCh37
cg07055143,X,55477154,-,MAGEH1,GRCh37
cg07055845,X,10588667,-,MID1;MID1;MID1;MID1,GRCh37
cg07056506,X,103357323,-,MCART6;ZCCHC18;ZCCHC18;ZCCHC18,GRCh37
cg07056550,X,71459039,+,ERCC6L;PIN4,GRCh37
cg07061351,X,72781733,-,LOC139201;CHIC1,GRCh37
cg07063211,X,48165587,+,SSX9;SSX9,GRCh37
cg07063583,X,8698228,+,KAL1,GRCh37
cg07066594,X,64195554,+,ZC4H2,GRCh37
cg07069575,X,49688313,+,CLCN5;CLCN5,GRCh37
cg07069660,X,49957476,+,AKAP4;AKAP4,GRCh37
cg07070466,X,89176658,+,TGIF2LX,GRCh37
cg07070940,X,7065614,+,HDHD1A;HDHD1A,GRCh37
cg07076318,X,37879976,+,SYTL5;SYTL5,GRCh37
cg07079445,X,16730680,+,CTPS2;CTPS2;CTPS2;CTPS2,GRCh37
cg07079936,X,48207835,-,SSX3;SSX3,GRCh37
cg07086565,X,153236942,-,TMEM187;HCFC1,GRCh37
cg07088622,X,22290906,+,ZNF645,GRCh37
cg07089242,X,149106617,+,LOC100272228;CXorf40B;CXorf40B,GRCh37
cg07089438,X,133988190,-,FAM122C;FAM122C,GRCh37
cg07091641,X,102533112,-,TCEAL5,GRCh37
cg07093674,X,40693703,-,LOC100132831,GRCh37
cg07094528,X,149527141,+,,GRCh37
cg07096038,X,39958181,-,BCOR;BCOR;BCOR;BCOR,GRCh37
cg07096248,X,16888596,-,RBBP7,GRCh37
cg07098277,X,106361852,+,RBM41;RBM41,GRCh37
cg07099245,X,39954231,-,BCOR;BCOR;BCOR;BCOR,GRCh37
cg07103644,X,30907643,+,MAP3K7IP3,GRCh37
cg07108522,X,71238826,+,NHSL2,GRCh37
cg07109010,X,48958025,+,WDR45;WDR45,GRCh37
cg07112779,X,48687187,+,ERAS,GRCh37
cg07115116,X,20154230,-,SCARNA9L;EIF1AX,GRCh37
cg07115537,X,37404647,+,,GRCh37
cg07136610,X,53713793,+,HUWE1,GRCh37
cg07136872,X,124337817,-,,GRCh37
cg07137581,X,63425776,-,FAM123B,GRCh37
cg07143052,X,53449486,-,SMC1A;RIBC1;RIBC1,GRCh37
cg07146718,X,137820752,-,FGF13;FGF13;FGF13;FGF13;FGF13,GRCh37
cg07147350,X,146992908,+,ASFMR1;ASFMR1;ASFMR1;FMR1;ASFMR1;ASFMR1,GRCh37
cg07150680,X,53710374,+,HUWE1,GRCh37
cg07151929,X,30907787,+,MAP3K7IP3,GRCh37
cg07153944,X,48660373,-,HDAC6,GRCh37
cg07156563,X,71525984,-,CITED1;CITED1;CITED1;CITED1,GRCh37
cg07157700,X,133793475,-,PLAC1,GRCh37
cg07158153,X,129118568,-,BCORL1,GRCh37
cg07160107,X,2882294,+,ARSE;ARSE,GRCh37
cg07161993,X,48957691,+,WDR45,GRCh37
cg07167981,X,44732352,-,KDM6A,GRCh37
cg07172237,X,134158728,+,,GRCh37
cg07172550,X,128913842,-,SASH3,GRCh37
cg07174097,X,107018607,-,TSC22D3,GRCh37
cg07177300,X,12156499,-,FRMPD4,GRCh37
cg07180121,X,136134878,-,,GRCh37
cg07180360,X,46404673,+,ZNF674;LOC401588;ZNF674,GRCh37
cg07181891,X,74493908,-,UPRT;UPRT;UPRT,GRCh37
cg07182248,X,70839284,+,CXCR3;BCYRN1;CXCR3,GRCh37
cg07186939,X,13336853,-,ATXN3L;ATXN3L,GRCh37
cg07187289,X,153059903,+,IDH3G;SSR4;IDH3G;IDH3G;IDH3G,GRCh37
cg07187723,X,110463862,+,PAK3;PAK3;PAK3;PAK3;PAK3;PAK3,GRCh37
cg07191545,X,37402201,-,,GRCh37
cg07192043,X,149933113,-,MTMR1,GRCh37
cg07193309,X,118404900,-,,GRCh37
cg07194250,X,133680463,+,MGC16121;MIR503,GRCh37
cg07195469,X,153637739,+,DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1,GRCh37
cg07195539,X,119127913,+,,GRCh37
cg07195705,X,73438372,+,NCRNA00182;MIR421,GRCh37
cg07198345,X,65382828,-,HEPH;HEPH;HEPH,GRCh37
cg07198771,X,99987179,+,SYTL4;SYTL4,GRCh37
cg07200487,X,124339462,-,,GRCh37
cg07201013,X,103271420,+,MIR1256,GRCh37
cg07204290,X,73833865,+,RLIM;RLIM,GRCh37
cg07206010,X,152710312,-,TREX2,GRCh37
cg07207959,X,118284520,+,KIAA1210,GRCh37
cg07208231,X,130037545,+,ENOX2;ENOX2,GRCh37
cg07210774,X,119764206,+,C1GALT1C1;C1GALT1C1,GRCh37
cg07210835,X,49029104,+,PLP2,GRCh37
cg07211220,X,154845915,-,,GRCh37
cg07211915,X,19533544,+,MAP3K15,GRCh37
cg07214066,X,47930589,+,ZNF630,GRCh37
cg07215528,X,153775517,+,G6PD;G6PD;IKBKG;IKBKG;IKBKG;IKBKG,GRCh37
cg07223177,X,46434198,-,CHST7,GRCh37
cg07240096,X,48980092,-,GPKOW,GRCh37
cg07242375,X,49042556,-,PRICKLE3,GRCh37
cg07253552,X,131624141,+,MBNL3,GRCh37
cg07256221,X,118533106,+,SLC25A43,GRCh37
cg07256643,X,152907168,-,DUSP9,GRCh37
cg07258624,X,27764734,-,DCAF8L2,GRCh37
cg07260325,X,58562599,-,,GRCh37
cg07260443,X,150395527,-,,GRCh37
cg07261646,X,153602918,-,FLNA;FLNA;FLNA;FLNA,GRCh37
cg07264097,X,70586192,+,BCYRN1;TAF1;TAF1,GRCh37
cg07274490,X,9730688,-,GPR143,GRCh37
cg07274922,X,55102690,+,PAGE2B,GRCh37
cg07276379,X,3265089,+,MXRA5,GRCh37
cg07278328,X,150254157,-,,GRCh37
cg07283407,X,133679994,-,MGC16121,GRCh37
cg07295246,X,19904780,-,SH3KBP1,GRCh37
cg07297906,X,133119578,+,GPC3;GPC3;GPC3;GPC3;GPC3;GPC3;GPC3;GPC3,GRCh37
cg07309821,X,62571385,-,SPIN4,GRCh37
cg07311845,X,154842736,+,TMLHE,GRCh37
cg07312966,X,132549205,-,GPC4,GRCh37
cg07313078,X,9753497,+,SHROOM2,GRCh37
cg07314984,X,19003243,+,PHKA2,GRCh37
cg07318999,X,100742903,+,ARMCX4,GRCh37
cg07320017,X,138774347,+,MCF2,GRCh37
cg07324045,X,34961467,+,FAM47B,GRCh37
cg07337720,X,151649295,-,,GRCh37
cg07342016,X,129306129,+,RAB33A,GRCh37
cg07343739,X,46617524,+,SLC9A7,GRCh37
cg07344627,X,125687011,+,DCAF12L1,GRCh37
cg07349006,X,100808047,+,ARMCX1,GRCh37
cg07352612,X,55287213,-,PAGE3,GRCh37
cg07354666,X,48380083,-,EBP,GRCh37
cg07356189,X,153523329,-,TEX28;TKTL1;TKTL1,GRCh37
cg07358738,X,115569065,+,SLC6A14,GRCh37
cg07363416,X,77151100,+,MAGT1,GRCh37
cg07368951,X,62570953,-,SPIN4;SPIN4,GRCh37
cg07374632,X,48693665,-,PCSK1N,GRCh37
cg07380282,X,8139190,-,VCX2;VCX2,GRCh37
cg07381502,X,40440191,-,ATP6AP2,GRCh37
cg07382308,X,47666656,-,,GRCh37
cg07382899,X,128789004,-,APLN,GRCh37
cg07386410,X,55515751,-,USP51,GRCh37
cg07388156,X,136656287,+,,GRCh37
cg07388258,X,48749177,+,,GRCh37
cg07390373,X,43741933,-,MAOB,GRCh37
cg07392722,X,102317796,-,BEX1,GRCh37
cg07393670,X,129299802,-,AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1,GRCh37
cg07395435,X,138774080,+,MCF2,GRCh37
cg07395724,X,152538950,+,,GRCh37
cg07395961,X,25041645,-,,GRCh37
cg07398429,X,30260301,+,MAGEB4,GRCh37
cg07405239,X,34406213,-,,GRCh37
cg07409400,X,118532412,-,SLC25A43,GRCh37
cg07413830,X,14048197,-,GEMIN8;GEMIN8;GEMIN8,GRCh37
cg07413956,X,55101460,-,PAGE2B,GRCh37
cg07416427,X,10085204,-,WWC3,GRCh37
cg07418809,X,30252456,-,MAGEB3,GRCh37
cg07419178,X,48916555,-,CCDC120;CCDC120;CCDC120;CCDC120;CCDC120;CCDC120;CCDC120;CCDC120,GRCh37
cg07419680,X,134429972,+,ZNF75D,GRCh37
cg07419801,X,131157622,+,MST4;MST4;MST4,GRCh37
cg07422795,X,133687405,+,,GRCh37
cg07427073,X,47837436,-,ZNF182;ZNF182,GRCh37
cg07428182,X,153686926,+,PLXNA3,GRCh37
cg07434817,X,19906542,-,SH3KBP1,GRCh37
cg07438602,X,106868304,-,,GRCh37
cg07439208,X,147578279,+,,GRCh37
cg07439872,X,136114890,-,GPR101,GRCh37
cg07441824,X,111623974,-,ZCCHC16,GRCh37
cg07442775,X,117120182,+,KLHL13;KLHL13;KLHL13;KLHL13,GRCh37
cg07445326,X,55245320,+,PAGE5;PAGE5,GRCh37
cg07446674,X,135333561,-,MAP7D3;MAP7D3,GRCh37
cg07446846,X,152952362,-,SLC6A8;SLC6A8,GRCh37
cg07447868,X,17395220,-,NHS,GRCh37
cg07449205,X,118825305,+,SEPT6;SEPT6;SEPT6;SEPT6,GRCh37
cg07449620,X,92929446,+,FAM133A;FAM133A;FAM133A;FAM133A;NAP1L3,GRCh37
cg07452499,X,49772484,+,CLCN5;MIR362;CLCN5;MIR500,GRCh37
cg07452997,X,118893383,+,ANKRD58,GRCh37
cg07457143,X,129547142,+,RBMX2,GRCh37
cg07458836,X,40594903,+,MED14,GRCh37
cg07459438,X,48934313,+,WDR45;WDR45,GRCh37
cg07462256,X,68725088,+,FAM155B;FAM155B,GRCh37
cg07463743,X,39863342,-,,GRCh37
cg07464229,X,47091239,+,USP11,GRCh37
cg07464489,X,119208249,-,RHOXF2;RHOXF2B,GRCh37
cg07464524,X,106960206,-,TSC22D3;TSC22D3;TSC22D3;TSC22D3,GRCh37
cg07464598,X,47420411,+,ARAF,GRCh37
cg07466166,X,77395088,+,TAF9B,GRCh37
cg07468307,X,117106802,-,KLHL13;KLHL13;KLHL13;KLHL13;KLHL13;KLHL13;KLHL13,GRCh37
cg07468552,X,47516868,-,LOC100133957;UXT;UXT;LOC100133957,GRCh37
cg07469105,X,101772034,-,TMSB15A,GRCh37
cg07469691,X,48331787,-,,GRCh37
cg07470526,X,55784972,+,RRAGB;RRAGB,GRCh37
cg07471703,X,55057010,+,ALAS2;ALAS2;ALAS2,GRCh37
cg07473550,X,107019191,+,TSC22D3,GRCh37
cg07474356,X,91034003,-,PCDH11X,GRCh37
cg07480829,X,119694550,-,CUL4B;CUL4B;CUL4B,GRCh37
cg07481063,X,44202777,+,EFHC2,GRCh37
cg07483816,X,70708623,-,BCYRN1,GRCh37
cg07483970,X,108719232,+,GUCY2F,GRCh37
cg07485959,X,119133942,+,,GRCh37
cg07489003,X,37545586,-,XK,GRCh37
cg07492878,X,102470002,+,BEX4;BEX4,GRCh37
cg07494987,X,15664840,-,TMEM27,GRCh37
cg07495946,X,68437736,+,,GRCh37
cg07496966,X,15758924,-,CA5B,GRCh37
cg07501063,X,3628424,-,PRKX,GRCh37
cg07507339,X,153744384,-,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A,GRCh37
cg07507776,X,57618914,+,ZXDB,GRCh37
cg07508090,X,64196343,-,ZC4H2,GRCh37
cg07516457,X,70585931,-,TAF1;BCYRN1;TAF1,GRCh37
cg07519908,X,18443723,-,CDKL5,GRCh37
cg07520860,X,73022045,+,TSIX,GRCh37
cg07520976,X,101971960,-,GPRASP2;GPRASP2,GRCh37
cg07525100,X,54522721,+,FGD1,GRCh37
cg07526675,X,48694367,-,PCSK1N,GRCh37
cg07549474,X,141293862,-,MAGEC2,GRCh37
cg07550694,X,70478246,-,BCYRN1,GRCh37
cg07553115,X,107976167,+,IRS4,GRCh37
cg07556193,X,69642229,+,GDPD2;GDPD2;GDPD2;GDPD2,GRCh37
cg07559438,X,152939838,-,PNCK;PNCK,GRCh37
cg07559615,X,47497286,-,ELK1;ELK1,GRCh37
cg07570652,X,130216807,+,FLJ30058,GRCh37
cg07573912,X,153363369,+,MECP2;MECP2,GRCh37
cg07581973,X,23685729,+,PRDX4,GRCh37
cg07590102,X,18460454,-,CDKL5;CDKL5,GRCh37
cg07592828,X,70364353,-,NLGN3;NLGN3;NLGN3,GRCh37
cg07601068,X,39953107,+,BCOR;BCOR;BCOR;BCOR,GRCh37
cg07605754,X,49687822,+,CLCN5;CLCN5,GRCh37
cg07608505,X,101380476,+,TCEAL2,GRCh37
cg07621042,X,114424768,+,RBMXL3;LRCH2,GRCh37
cg07629996,X,17673876,+,NHS;NHS,GRCh37
cg07635888,X,153200189,+,NAA10,GRCh37
cg07642259,X,43833130,+,NDP,GRCh37
cg07646007,X,55169964,+,FAM104B;FAM104B;FAM104B,GRCh37
cg07647518,X,19904979,+,SH3KBP1,GRCh37
cg07648454,X,124337761,+,,GRCh37
cg07649160,X,48931826,+,PRAF2,GRCh37
cg07650623,X,14547147,+,GLRA2;GLRA2;GLRA2,GRCh37
cg07650640,X,40007201,-,BCOR;BCOR,GRCh37
cg07652272,X,2847510,+,ARSD;ARSD,GRCh37
cg07653550,X,122696079,+,MIR220A,GRCh37
cg07653640,X,110038954,+,CHRDL1;CHRDL1;CHRDL1;CHRDL1;CHRDL1,GRCh37
cg07653699,X,138286295,-,FGF13;FGF13;FGF13,GRCh37
cg07653728,X,152939309,+,PNCK;PNCK,GRCh37
cg07654896,X,46937829,+,RGN;RGN;RGN;RGN,GRCh37
cg07658428,X,40694785,-,,GRCh37
cg07658614,X,44402068,+,FUNDC1,GRCh37
cg07659240,X,149531594,-,,GRCh37
cg07660381,X,79591032,+,FAM46D;FAM46D,GRCh37
cg07660411,X,16804380,+,CXorf15;CXorf15,GRCh37
cg07662137,X,96139067,+,DIAPH2;DIAPH2;RPA4;RPA4,GRCh37
cg07672452,X,14044613,-,GEMIN8;GEMIN8;GEMIN8,GRCh37
cg07673466,X,70363469,-,NLGN3;NLGN3;NLGN3,GRCh37
cg07674075,X,55187543,-,FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B,GRCh37
cg07674139,X,105066526,+,NRK,GRCh37
cg07674503,X,131352282,-,RAP2C,GRCh37
cg07674520,X,48659624,+,HDAC6,GRCh37
cg07679432,X,152596109,+,,GRCh37
cg07679571,X,69712223,-,DLG3;DLG3;DLG3,GRCh37
cg07681139,X,103811716,-,IL1RAPL2;IL1RAPL2,GRCh37
cg07681512,X,118827369,-,SEPT6;SEPT6;SEPT6;SEPT6,GRCh37
cg07681653,X,139590479,+,,GRCh37
cg07682072,X,48367166,-,PORCN;PORCN;PORCN;PORCN;PORCN,GRCh37
cg07686944,X,17755642,-,SCML1;SCML1;SCML1;SCML1;SCML1;SCML1;SCML1;SCML1,GRCh37
cg07688057,X,39943025,+,BCOR;BCOR;BCOR;BCOR,GRCh37
cg07688234,X,47489663,-,CFP;CFP;CFP,GRCh37
cg07692215,X,110867637,-,,GRCh37
cg07693301,X,150067249,-,CD99L2;CD99L2;CD99L2,GRCh37
cg07693661,X,72435007,-,NAP1L2,GRCh37
cg07694085,X,135334005,+,MAP7D3,GRCh37
cg07695603,X,150399990,-,,GRCh37
cg07713026,X,70503585,+,NONO;NONO;BCYRN1;NONO;NONO,GRCh37
cg07734869,X,48754200,+,TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;PQBP1;PQBP1;TIMM17B;PQBP1;PQBP1,GRCh37
cg07745899,X,100303724,-,TRMT2B;TRMT2B;TRMT2B;TRMT2B,GRCh37
cg07746818,X,102469720,-,BEX4;BEX4,GRCh37
cg07748875,X,102565963,-,BEX2;BEX2;BEX2;BEX2;BEX2,GRCh37
cg07749147,X,153625894,+,RPL10;RPL10,GRCh37
cg07749485,X,119124509,-,,GRCh37
cg07750402,X,48814932,-,OTUD5;OTUD5;OTUD5;OTUD5,GRCh37
cg07750953,X,37355187,+,,GRCh37
cg07752550,X,35816656,+,MAGEB16;MAGEB16,GRCh37
cg07755264,X,53361783,-,,GRCh37
cg07756708,X,63617742,-,,GRCh37
cg07758529,X,103813150,+,IL1RAPL2,GRCh37
cg07759587,X,12924783,+,TLR8;TLR8;LOC349408,GRCh37
cg07761273,X,13591311,-,EGFL6;EGFL6,GRCh37
cg07761358,X,152991647,-,BCAP31;ABCD1,GRCh37
cg07764473,X,40037510,+,BCOR;BCOR,GRCh37
cg07764932,X,11278904,+,ARHGAP6;ARHGAP6;ARHGAP6,GRCh37
cg07767690,X,54834292,+,MAGED2;MAGED2;MAGED2,GRCh37
cg07768177,X,138286760,-,FGF13;FGF13;FGF13,GRCh37
cg07768843,X,13955102,-,GPM6B,GRCh37
cg07769622,X,27481498,+,SMEK3P,GRCh37
cg07770093,X,136115530,+,,GRCh37
cg07771637,X,134186198,-,FAM127B;FAM127B;FAM127B;FAM127B,GRCh37
cg07772467,X,30671633,+,GK;GK;GK;GK;GK;GK,GRCh37
cg07774424,X,101915091,-,,GRCh37
cg07776419,X,133680476,+,MGC16121;MIR503,GRCh37
cg07779434,X,14891349,-,MOSPD2;FANCB;FANCB,GRCh37
cg07779826,X,103268686,-,H2BFWT;MIR1256,GRCh37
cg07780118,X,66766506,+,AR,GRCh37
cg07780544,X,109662214,+,AMMECR1;RGAG1,GRCh37
cg07780887,X,73325165,-,NCRNA00182,GRCh37
cg07781082,X,77359553,+,PGK1,GRCh37
cg07792041,X,152735637,-,HAUS7,GRCh37
cg07792400,X,106449944,+,CXorf41;NUP62CL;CXorf41,GRCh37
cg07796014,X,11129290,-,HCCS;HCCS,GRCh37
cg07799491,X,149861526,+,MTMR1,GRCh37
cg07801607,X,101146494,+,ZMAT1;ZMAT1,GRCh37
cg07804196,X,33229454,-,DMD;DMD;DMD,GRCh37
cg07806343,X,129194523,-,,GRCh37
cg07806797,X,152127816,+,ZNF185,GRCh37
cg07809144,X,53584134,+,MIR98;HUWE1,GRCh37
cg07809462,X,117957621,-,ZCCHC12,GRCh37
cg07810091,X,48534493,+,,GRCh37
cg07810164,X,13588174,-,EGFL6;EGFL6,GRCh37
cg07811386,X,15768223,-,CA5B,GRCh37
cg07812390,X,68061003,-,EFNB1,GRCh37
cg07816287,X,133119692,-,GPC3;GPC3;GPC3;GPC3,GRCh37
cg07818713,X,133675557,-,MIR450A1;MIR450B;MIR542;MIR450A2,GRCh37
cg07820420,X,30327545,-,NR0B1,GRCh37
cg07822777,X,103499650,-,ESX1,GRCh37
cg07823797,X,73513418,-,NCRNA00182,GRCh37
cg07824128,X,100353260,-,,GRCh37
cg07824272,X,15334785,-,ASB11,GRCh37
cg07824317,X,38187006,+,RPGR;RPGR,GRCh37
cg07824412,X,30259099,+,MAGEB4,GRCh37
cg07825508,X,100645891,+,RPL36A,GRCh37
cg07826058,X,21857614,-,MBTPS2,GRCh37
cg07828380,X,11683977,+,ARHGAP6;ARHGAP6,GRCh37
cg07830469,X,68385467,-,PJA1;PJA1;PJA1,GRCh37
cg07834773,X,50214061,+,DGKK,GRCh37
cg07837161,X,153744667,+,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A,GRCh37
cg07839376,X,12806991,-,,GRCh37
cg07842130,X,3234921,-,MXRA5,GRCh37
cg07845764,X,69282293,+,OTUD6A,GRCh37
cg07847989,X,114141368,+,HTR2C,GRCh37
cg07858069,X,21958690,+,SMS,GRCh37
cg07859138,X,118751995,+,SEPT6;SEPT6;SEPT6;SEPT6,GRCh37
cg07861014,X,47515586,-,UXT;UXT,GRCh37
cg07861180,X,129066829,-,,GRCh37
cg07862274,X,47053283,-,UBA1;UBA1;UBA1,GRCh37
cg07863318,X,119005983,-,RNF113A;NDUFA1,GRCh37
cg07864948,X,18690197,+,RS1;RS1,GRCh37
cg07865294,X,30248557,-,MAGEB3;MAGEB3,GRCh37
cg07865580,X,47518238,+,LOC100133957;LOC100133957;UXT;UXT,GRCh37
cg07867687,X,48334539,-,FTSJ1;FTSJ1,GRCh37
cg07868857,X,39473069,+,,GRCh37
cg07869461,X,11777744,+,MSL3;MSL3;MSL3;MSL3,GRCh37
cg07870985,X,102510111,-,TCEAL8;TCEAL8;TCEAL8;TCEAL8,GRCh37
cg07874284,X,12809156,-,PRPS2;PRPS2,GRCh37
cg07874334,X,122993913,-,XIAP,GRCh37
cg07874445,X,153166595,+,AVPR2,GRCh37
cg07876586,X,118370356,-,PGRMC1,GRCh37
cg07880562,X,41333643,+,NYX,GRCh37
cg07881342,X,112087556,-,,GRCh37
cg07882687,X,49460608,+,PAGE1,GRCh37
cg07885785,X,30591068,-,CXorf21,GRCh37
cg07887243,X,43741530,+,MAOB,GRCh37
cg07890967,X,123470509,-,,GRCh37
cg07892139,X,84192519,+,,GRCh37
cg07892321,X,57145316,-,,GRCh37
cg07896193,X,106449457,+,NUP62CL;CXorf41;CXorf41,GRCh37
cg07897414,X,86772895,+,KLHL4;KLHL4;KLHL4;KLHL4,GRCh37
cg07898500,X,8432988,+,VCX3B;VCX3B,GRCh37
cg07902213,X,122866969,-,THOC2,GRCh37
cg07903246,X,51071657,-,,GRCh37
cg07903515,X,128975063,+,ZDHHC9;ZDHHC9,GRCh37
cg07906564,X,48858799,+,GRIPAP1;GRIPAP1,GRCh37
cg07907859,X,92928229,-,FAM133A;FAM133A;FAM133A;NAP1L3;FAM133A,GRCh37
cg07908142,X,118926253,-,RPL39,GRCh37
cg07910525,X,51075582,+,NUDT10,GRCh37
cg07910919,X,152082866,+,ZNF185,GRCh37
cg07911140,X,135631653,+,VGLL1;MIR934,GRCh37
cg07911663,X,109245325,+,TMEM164;TMEM164,GRCh37
cg07912337,X,153744670,+,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A,GRCh37
cg07912810,X,69936578,+,TEX11;TEX11,GRCh37
cg07917796,X,95939710,+,DIAPH2;DIAPH2;DIAPH2;DIAPH2,GRCh37
cg07919695,X,135729658,-,CD40LG,GRCh37
cg07924363,X,133680812,+,MGC16121;MIR424;MIR503,GRCh37
cg07928156,X,102862813,-,TCEAL3;TCEAL3,GRCh37
cg07929406,X,139587304,-,SOX3,GRCh37
cg07929447,X,132095429,+,HS6ST2;HS6ST2,GRCh37
cg07930217,X,106871770,-,PRPS1;PRPS1,GRCh37
cg07933757,X,150066987,+,CD99L2;CD99L2;CD99L2,GRCh37
cg07933790,X,41333435,-,NYX,GRCh37
cg07934503,X,49639720,+,,GRCh37
cg07940380,X,67653182,-,OPHN1;OPHN1,GRCh37
cg07940804,X,127185902,-,ACTRT1,GRCh37
cg07946392,X,120008972,+,CT47B1,GRCh37
cg07946630,X,54556446,-,GNL3L,GRCh37
cg07951153,X,103411259,-,CXorf39,GRCh37
cg07951921,X,18236209,+,BEND2,GRCh37
cg07952579,X,88002047,+,CPXCR1,GRCh37
cg07954607,X,101380464,+,TCEAL2,GRCh37
cg07971493,X,19533022,-,MAP3K15,GRCh37
cg07973464,X,17393423,+,NHS,GRCh37
cg07975691,X,52840827,+,XAGE5,GRCh37
cg07979856,X,49044231,+,PRICKLE3,GRCh37
cg07980716,X,129272060,+,AIFM1;AIFM1;AIFM1;AIFM1;AIFM1,GRCh37
cg07980988,X,123480013,-,SH2D1A;SH2D1A,GRCh37
cg07981033,X,131356353,-,,GRCh37
cg07983304,X,142716994,-,SLITRK4,GRCh37
cg07983986,X,33740873,-,,GRCh37
cg07984302,X,106754561,-,,GRCh37
cg07987169,X,12938504,-,TLR8;LOC349408,GRCh37
cg07989638,X,39020371,+,,GRCh37
cg07989867,X,75648019,-,MAGEE1,GRCh37
cg07990395,X,138287169,+,FGF13;FGF13;FGF13;FGF13;FGF13;FGF13,GRCh37
cg07994386,X,12156284,-,FRMPD4,GRCh37
cg07997942,X,48165663,+,SSX9,GRCh37
cg07998499,X,134847042,+,CT45A1,GRCh37
cg08021299,X,65383076,-,HEPH;HEPH;HEPH,GRCh37
cg08023692,X,132352214,+,TFDP3,GRCh37
cg08037664,X,154113992,-,F8;F8A3;F8A1;F8;F8A2,GRCh37
cg08046324,X,130192734,+,FLJ30058,GRCh37
cg08057040,X,77084159,+,MAGT1,GRCh37
cg08059058,X,8699462,-,KAL1,GRCh37
cg08059778,X,129116536,+,BCORL1,GRCh37
cg08060890,X,119249745,-,RHOXF1,GRCh37
cg08061308,X,152582901,+,,GRCh37
cg08062822,X,103356845,-,MCART6;ZCCHC18;ZCCHC18,GRCh37
cg08063601,X,66763942,+,AR;AR,GRCh37
cg08063757,X,153561174,+,,GRCh37
cg08065271,X,153090978,-,PDZD4,GRCh37
cg08065501,X,48755716,+,PQBP1;TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;PQBP1,GRCh37
cg08070147,X,17756762,+,SCML1;SCML1;SCML1;SCML1,GRCh37
cg08071770,X,129518617,+,GPR119,GRCh37
cg08073365,X,135638873,-,VGLL1,GRCh37
cg08076508,X,54070176,-,PHF8,GRCh37
cg08076861,X,152599398,-,ZNF275,GRCh37
cg08076987,X,139844511,+,,GRCh37
cg08081144,X,17393772,-,NHS;NHS,GRCh37
cg08085487,X,145110794,-,MIR891A,GRCh37
cg08087512,X,153990886,+,DKC1;DKC1,GRCh37
cg08087911,X,100306877,-,TRMT2B;TRMT2B;TRMT2B;TRMT2B;TRMT2B;TRMT2B;TRMT2B;TRMT2B,GRCh37
cg08089354,X,118921379,-,RPL39;SNORA69,GRCh37
cg08093211,X,100075588,+,CSTF2,GRCh37
cg08096166,X,113873897,+,MIR764;HTR2C,GRCh37
cg08097522,X,48833607,+,GRIPAP1;GRIPAP1,GRCh37
cg08098127,X,13681806,+,TCEANC,GRCh37
cg08099387,X,100075179,+,CSTF2,GRCh37
cg08100265,X,122867073,+,THOC2,GRCh37
cg08100618,X,125686801,-,DCAF12L1;DCAF12L1,GRCh37
cg08101918,X,6146656,-,NLGN4X;NLGN4X;NLGN4X,GRCh37
cg08103876,X,75249519,-,,GRCh37
cg08104711,X,49091769,-,CCDC22,GRCh37
cg08105512,X,99989919,+,,GRCh37
cg08108619,X,84499351,-,ZNF711,GRCh37
cg08113756,X,57022079,+,SPIN3;SPIN3,GRCh37
cg08115220,X,45710419,+,,GRCh37
cg08117103,X,106957583,+,TSC22D3;TSC22D3;TSC22D3,GRCh37
cg08118032,X,46306550,+,ZNF673;ZNF673;ZNF673;ZNF673,GRCh37
cg08118341,X,48931823,+,PRAF2,GRCh37
cg08119295,X,102586466,+,TCEAL7,GRCh37
cg08119631,X,118822815,+,SEPT6;SEPT6;SEPT6;SEPT6,GRCh37
cg08122495,X,150150670,+,HMGB3,GRCh37
cg08126551,X,153069729,-,PDZD4,GRCh37
cg08129292,X,20155820,+,SCARNA9L;EIF1AX,GRCh37
cg08130682,X,123094001,+,STAG2,GRCh37
cg08136916,X,17705840,-,NHS;NHS,GRCh37
cg08139636,X,132087774,-,HS6ST2;HS6ST2,GRCh37
cg08141049,X,68370055,-,,GRCh37
cg08141518,X,133680974,-,MIR424;MGC16121;MIR503,GRCh37
cg08141744,X,99917334,+,SRPX2,GRCh37
